m, tiempoTotal
1180, 27999671
1181, 21263998
1182, 22585766
1183, 17692035
1184, 17811788
1185, 17171759
1186, 24830012
1187, 20106096
1188, 16933362
1189, 17608695
1190, 23512871
1191, 19998617
1192, 17633073
1193, 18164742
1194, 22914766
1195, 18724162
1196, 18039423
1197, 18270927
1198, 20084765
1199, 20172484
1200, 17408582
1201, 18705327
1202, 22474370
1203, 21648803
1204, 17884343
1205, 17114849
1206, 22384640
1207, 20859546
1208, 18085370
1209, 18603946
1210, 22372968
1211, 20907152
1212, 19699463
1213, 17292277
1214, 21809856
1215, 20898586
1216, 19728014
1217, 17395830
1218, 22086637
1219, 20264291
1220, 18738530
1221, 18559927
1222, 22422176
1223, 20394339
1224, 17477198
1225, 20188065
