cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
422, 166718373, 127457404, 116503585, 120075996, 160836473, 190528790
423, 153158538, 133928240, 144918512, 116693345, 151689993, 151920412
424, 151202745, 151884813, 138772945, 126310374, 153364487, 141756759
425, 160753462, 149362832, 123547032, 134664758, 139930167, 171919555
426, 165057654, 144517969, 135705102, 135294832, 148722779, 177427685
427, 150938354, 130913252, 131226896, 125245545, 146971943, 160772025
428, 148537360, 130380795, 128580873, 118404002, 141734782, 161291238
429, 159521626, 129747478, 164396854, 122935593, 174384313, 173398232
430, 172524049, 136995986, 163734639, 129303737, 161116538, 163973263
431, 150348529, 122664863, 157646513, 122202430, 157023516, 150449552
