cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
374, 120703421, 101471972, 96970784, 91847791, 111213068, 120027302
375, 113629717, 115337096, 105306373, 96731497, 115797940, 123836223
376, 123769738, 97832699, 113659457, 94293177, 133475490, 119093822
377, 124166231, 112306099, 105435407, 91766870, 130653135, 124481978
378, 127740183, 115425759, 116442689, 98427263, 128576420, 123637042
379, 134771985, 117787290, 109024603, 88210301, 139589578, 132060040
380, 130643390, 108326442, 120609901, 92421651, 147897279, 127145889
381, 139415945, 119766469, 118630218, 108182111, 125911645, 127036993
382, 157115929, 125388697, 119284104, 122242093, 144589279, 148489512
383, 138880486, 124113005, 112064130, 101618005, 157393553, 140598692
384, 136159803, 121186711, 119708016, 106533490, 142579065, 136928606
385, 132840487, 112696335, 114526802, 119640480, 135849048, 140610390
386, 144906085, 115993052, 130945672, 110307147, 157939539, 158167880
387, 130996544, 110940908, 117792862, 106755295, 126453800, 125491020
388, 125655949, 111943488, 104935800, 100169336, 154630429, 143373680
389, 155574742, 136822643, 150186630, 123409315, 158212743, 158580581
390, 151159479, 113075320, 110663730, 105368214, 136501365, 136318914
391, 127570241, 107821804, 119671091, 106143524, 148222056, 147554640
392, 136111174, 133836497, 120898720, 122234067, 129405048, 141874511
393, 145505870, 107645860, 117319481, 105143246, 147825056, 137603624
394, 150855681, 117785946, 115438461, 102933338, 128979329, 183287413
395, 141340915, 121254807, 116799809, 99246593, 140754764, 144921790
396, 130319588, 118585021, 116571944, 114287526, 136291732, 153264718
397, 134434892, 115292478, 121152608, 108973386, 137438580, 132546854
398, 129728553, 129060049, 114553535, 99952952, 129348667, 137847346
399, 132164514, 118809521, 116210426, 99884558, 158109042, 138870703
400, 162766396, 134816448, 146020877, 134432022, 159124306, 148591792
401, 147548579, 139156161, 137335328, 114109475, 148710917, 153341709
402, 146414198, 108887233, 121011106, 107809056, 135485001, 155498049
403, 163419363, 132303553, 110634291, 99031271, 146239459, 157425303
404, 141392612, 132565466, 114882309, 111429119, 134418478, 152132668
405, 158860083, 126099919, 146205976, 128259966, 143839726, 155857884
406, 152345441, 118663207, 132701919, 110952907, 146164122, 151774338
407, 145249669, 134302923, 138807771, 112843907, 176392283, 158761581
408, 163031705, 126155878, 121514524, 107544247, 140446521, 156318059
409, 144216877, 121077686, 125715238, 108249340, 146200967, 155760970
410, 161220435, 140367696, 132403954, 137490512, 144568562, 155013732
411, 155803522, 125376964, 126687629, 107082981, 137558077, 137951230
412, 158132344, 126952823, 129497355, 111100430, 134634322, 138332898
413, 143007125, 136672652, 121715883, 116088117, 156520899, 143848908
414, 143439965, 133802432, 127125627, 122520561, 151144711, 146100597
415, 149368329, 131145035, 124443270, 118063132, 158728927, 146338144
416, 163441329, 129187138, 129118835, 112380876, 147799162, 156917881
417, 155680984, 130097888, 126131123, 113690072, 144618234, 153455745
